"","msg","mnsg","nmsg","nmnsg","module_genes","total_genes","pvalue","oddsratio","p.adjust(p, method = ""BH"", n = length(p))"
"Sfari_all M0",313,5746,220,4842,6059,11121,0.0449162866939924,1.1988737478658,0.262511963062035
"Sfari_all M1",57,835,476,9753,892,11121,0.026865748075658,1.398630217884,0.230277840648497
"Sfari_all M2",21,919,512,9669,940,11121,4.12154416267447e-05,0.431557667669765,0.00247292649760468
"Sfari_all M3",0,22,533,10566,22,11121,0.623742220638023,0,0.797339243342696
"Sfari_all M4",28,469,505,10119,497,11121,0.388775200083125,1.19625422498671,0.609380094683729
"Sfari_all M5",22,446,511,10142,468,11121,1,0.97901930203987,1
"Sfari_all M6",24,421,509,10167,445,11121,0.498011417392192,1.13867182663516,0.694899652175152
"Sfari_all M7",34,482,499,10106,516,11121,0.0568775919967743,1.42853568016878,0.262511963062035
"Sfari_all M8",9,451,524,10137,460,11121,0.00171950252381316,0.386072985807528,0.0515850757143947
"Sfari_all M9",10,356,523,10232,366,11121,0.0614689883452663,0.549548922268654,0.263438521479713
"Sfari_all M10",8,230,525,10358,238,11121,0.358035649057911,0.686251632270973,0.609380094683729
"Sfari_all M11",7,211,526,10377,218,11121,0.336314802851212,0.654495832654558,0.609380094683729
"Sfari_only M0",223,5836,159,4903,6059,11121,0.129443466549235,1.17827791229337,0.406478186420632
"Sfari_only M1",41,851,341,9888,892,11121,0.054559355788029,1.39698378413575,0.262511963062035
"Sfari_only M2",17,923,365,9816,940,11121,0.00265339307758586,0.495347711720134,0.0530678615517171
"Sfari_only M3",0,22,382,10717,22,11121,1,0,1
"Sfari_only M4",18,479,364,10260,497,11121,0.800509575365398,1.05923144944419,0.941775971018115
"Sfari_only M5",13,455,369,10284,468,11121,0.516269390713336,0.796289478089771,0.704003714609094
"Sfari_only M6",18,427,364,10312,445,11121,0.42656606627861,1.194203167924,0.609380094683729
"Sfari_only M7",24,492,358,10247,516,11121,0.135492728806877,1.39617958752746,0.406478186420632
"Sfari_only M8",8,452,374,10287,460,11121,0.036469572488837,0.486821615881086,0.262511963062035
"Sfari_only M9",6,360,376,10379,366,11121,0.0565642875920184,0.46008520538412,0.262511963062035
"Sfari_only M10",7,231,375,10508,238,11121,0.856783862531947,0.849140800045813,0.969943995319185
"Sfari_only M11",7,211,375,10528,218,11121,1,0.93139233712878,1
"ID_all M0",491,5568,363,4699,6059,11121,0.0682029698732191,1.14149957128885,0.272811879492876
"ID_all M1",75,817,779,9450,892,11121,0.393909844328812,1.11356764651348,0.609380094683729
"ID_all M2",57,883,797,9384,940,11121,0.0545496664052774,0.760070417488726,0.262511963062035
"ID_all M3",0,22,854,10245,22,11121,0.408503256820805,0,0.609380094683729
"ID_all M4",48,449,806,9818,497,11121,0.100750059022243,1.30217812322292,0.377812721333412
"ID_all M5",35,433,819,9834,468,11121,0.92945741754813,0.97057068638575,1
"ID_all M6",27,418,827,9849,445,11121,0.236548922834334,0.769300153461839,0.494607587160414
"ID_all M7",37,479,817,9788,516,11121,0.734801257914593,0.925418304159093,0.899756642344399
"ID_all M8",27,433,827,9834,460,11121,0.152087058005913,0.741513269345104,0.434534451445467
"ID_all M9",32,334,822,9933,366,11121,0.424350071530783,1.15772609967472,0.609380094683729
"ID_all M10",17,221,837,10046,238,11121,0.901836604959905,0.923263335015486,1
"ID_all M11",8,210,846,10057,218,11121,0.0204180366028795,0.452888412448668,0.221488981576508
"ID_only M0",401,5658,302,4760,6059,11121,0.170842235248203,1.11704489693493,0.465933368858736
"ID_only M1",59,833,644,9585,892,11121,0.71963882067821,1.0541858085557,0.899548525847763
"ID_only M2",53,887,650,9531,940,11121,0.400788536469219,0.876130958635718,0.609380094683729
"ID_only M3",0,22,703,10396,22,11121,0.396517240795131,0,0.609380094683729
"ID_only M4",38,459,665,9959,497,11121,0.219498058532136,1.23981096396323,0.494607587160414
"ID_only M5",26,442,677,9976,468,11121,0.560184950024728,0.866799090219163,0.746913266699637
"ID_only M6",21,424,682,9994,445,11121,0.194953674520661,0.725831433058612,0.494607587160414
"ID_only M7",27,489,676,9929,516,11121,0.353562381703121,0.810977895169206,0.609380094683729
"ID_only M8",26,434,677,9984,460,11121,0.624582407285112,0.883486280928777,0.797339243342696
"ID_only M9",28,338,675,10080,366,11121,0.274958281150986,1.23705386489438,0.549916562301971
"ID_only M10",16,222,687,10196,238,11121,0.787053940001056,1.06966981614529,0.941775971018115
"ID_only M11",8,210,695,10208,218,11121,0.120782256316436,0.5595875686855,0.406478186420632
"Sfari&ID M0",90,5969,61,5001,6059,11121,0.217580900953921,1.23611641309307,0.494607587160414
"Sfari&ID M1",16,876,135,10094,892,11121,0.227865280958575,1.36561840341935,0.494607587160414
"Sfari&ID M2",4,936,147,10034,940,11121,0.00717916455944345,0.291722919654397,0.107687468391652
"Sfari&ID M3",0,22,151,10948,22,11121,1,0,1
"Sfari&ID M4",10,487,141,10483,497,11121,0.227885130065334,1.52654853567438,0.494607587160414
"Sfari&ID M5",9,459,142,10511,468,11121,0.301285344061324,1.45131780871222,0.58313292398966
"Sfari&ID M6",6,439,145,10531,445,11121,1,0.992632809185828,1
"Sfari&ID M7",10,506,141,10464,516,11121,0.2390603337942,1.46657661321438,0.494607587160414
"Sfari&ID M8",1,459,150,10511,460,11121,0.0221488981576508,0.152677411953847,0.221488981576508
"Sfari&ID M9",4,362,147,10608,366,11121,0.820343609017186,0.797396738218341,0.946550318096753
"Sfari&ID M10",1,237,150,10733,238,11121,0.384677409575633,0.301932222222973,0.609380094683729
"Sfari&ID M11",0,218,151,10752,218,11121,0.125880514320851,0,0.406478186420632
